Date,Manufacturer,Category,Registrations
2022-01-01,Mahindra,4W,169
2022-01-01,TVS,2W,303
2022-01-01,Maruti,4W,132
2022-01-01,Bajaj,2W,301
2022-01-01,Toyota,4W,131
2022-01-01,Tata,4W,153
2022-01-01,Hyundai,4W,159
2022-01-01,Honda,4W,167
2022-01-02,Honda,4W,157
2022-01-02,Tata,4W,158
2022-01-02,Bajaj,2W,296
2022-01-02,Hero,2W,295
2022-01-02,TVS,2W,283
2022-01-02,Toyota,4W,167
2022-01-03,Bajaj,2W,290
2022-01-03,Tata,4W,157
2022-01-03,Toyota,4W,133
2022-01-03,Hero,2W,301
2022-01-03,Mahindra,4W,159
2022-01-03,Hyundai,4W,138
2022-01-03,TVS,2W,289
2022-01-04,Tata,4W,150
2022-01-04,TVS,2W,308
2022-01-04,Kia,4W,166
2022-01-04,Honda,4W,142
2022-01-04,Toyota,4W,168
2022-01-04,Hero,2W,296
2022-01-04,Bajaj,2W,313
2022-01-05,Mahindra,4W,159
2022-01-05,Hero,2W,308
2022-01-05,Maruti,4W,162
2022-01-05,Tata,4W,148
2022-01-05,Hyundai,4W,134
2022-01-05,TVS,2W,308
2022-01-05,Kia,4W,140
2022-01-05,Toyota,4W,142
2022-01-05,Bajaj,2W,307
2022-01-05,Honda,4W,134
2022-01-06,Hyundai,4W,167
2022-01-06,Kia,4W,139
2022-01-06,Toyota,4W,173
2022-01-06,Mahindra,4W,162
2022-01-06,Maruti,4W,141
2022-01-06,Bajaj,2W,293
2022-01-06,Tata,4W,142
2022-01-06,Honda,4W,146
2022-01-07,Hero,2W,320
2022-01-07,TVS,2W,286
2022-01-07,Hyundai,4W,170
2022-01-07,Mahindra,4W,172
2022-01-07,Tata,4W,149
2022-01-07,Kia,4W,138
2022-01-08,TVS,2W,298
2022-01-08,Hyundai,4W,167
2022-01-08,Mahindra,4W,174
2022-01-08,Hero,2W,317
2022-01-08,Maruti,4W,139
2022-01-09,Toyota,4W,143
2022-01-09,Hyundai,4W,158
2022-01-09,Maruti,4W,164
2022-01-09,Mahindra,4W,138
2022-01-09,Hero,2W,292
2022-01-09,Tata,4W,164
2022-01-09,TVS,2W,314
2022-01-09,Bajaj,2W,306
2022-01-09,Honda,4W,166
2022-01-09,Kia,4W,147
2022-01-10,Mahindra,4W,150
2022-01-10,Hyundai,4W,140
2022-01-10,Tata,4W,176
2022-01-10,Kia,4W,143
2022-01-10,Hero,2W,295
2022-01-10,Maruti,4W,164
2022-01-11,TVS,2W,300
2022-01-11,Toyota,4W,177
2022-01-11,Bajaj,2W,290
2022-01-11,Honda,4W,141
2022-01-11,Hero,2W,325
2022-01-12,TVS,2W,326
2022-01-12,Honda,4W,171
2022-01-12,Kia,4W,172
2022-01-12,Mahindra,4W,140
2022-01-12,Toyota,4W,158
2022-01-13,Maruti,4W,157
2022-01-13,Honda,4W,178
2022-01-13,Bajaj,2W,314
2022-01-13,Tata,4W,145
2022-01-13,Hero,2W,324
2022-01-13,Toyota,4W,146
2022-01-13,TVS,2W,312
2022-01-13,Mahindra,4W,151
2022-01-13,Kia,4W,156
2022-01-13,Hyundai,4W,173
2022-01-14,Kia,4W,159
2022-01-14,Maruti,4W,160
2022-01-14,Hyundai,4W,172
2022-01-14,TVS,2W,297
2022-01-14,Honda,4W,173
2022-01-15,Honda,4W,171
2022-01-15,Kia,4W,176
2022-01-15,TVS,2W,298
2022-01-15,Hyundai,4W,157
2022-01-15,Toyota,4W,167
2022-01-15,Bajaj,2W,293
2022-01-16,Bajaj,2W,308
2022-01-16,Hyundai,4W,145
2022-01-16,Mahindra,4W,162
2022-01-16,Honda,4W,166
2022-01-16,Toyota,4W,175
2022-01-17,Kia,4W,178
2022-01-17,TVS,2W,318
2022-01-17,Hyundai,4W,172
2022-01-17,Honda,4W,161
2022-01-17,Tata,4W,161
2022-01-17,Bajaj,2W,295
2022-01-17,Toyota,4W,178
2022-01-17,Mahindra,4W,159
2022-01-18,Hyundai,4W,161
2022-01-18,Toyota,4W,177
2022-01-18,Tata,4W,156
2022-01-18,Honda,4W,166
2022-01-18,Kia,4W,166
2022-01-18,Hero,2W,324
2022-01-18,TVS,2W,332
2022-01-18,Maruti,4W,182
2022-01-18,Mahindra,4W,152
2022-01-19,Tata,4W,164
2022-01-19,TVS,2W,299
2022-01-19,Hero,2W,330
2022-01-19,Bajaj,2W,312
2022-01-19,Honda,4W,173
2022-01-19,Mahindra,4W,175
2022-01-19,Maruti,4W,174
2022-01-20,Hyundai,4W,176
2022-01-20,Hero,2W,330
2022-01-20,Bajaj,2W,328
2022-01-20,Honda,4W,166
2022-01-20,TVS,2W,327
2022-01-20,Maruti,4W,168
2022-01-20,Mahindra,4W,178
2022-01-20,Tata,4W,148
2022-01-20,Toyota,4W,163
2022-01-20,Kia,4W,170
2022-01-21,Maruti,4W,148
2022-01-21,Kia,4W,172
2022-01-21,Mahindra,4W,163
2022-01-21,Bajaj,2W,336
2022-01-21,Honda,4W,179
2022-01-21,Hyundai,4W,155
2022-01-22,Hero,2W,310
2022-01-22,Mahindra,4W,154
2022-01-22,Maruti,4W,183
2022-01-22,TVS,2W,317
2022-01-22,Tata,4W,148
2022-01-22,Bajaj,2W,305
2022-01-22,Hyundai,4W,163
2022-01-23,Kia,4W,170
2022-01-23,Maruti,4W,173
2022-01-23,TVS,2W,320
2022-01-23,Hero,2W,320
2022-01-23,Toyota,4W,154
2022-01-23,Hyundai,4W,163
2022-01-23,Mahindra,4W,185
2022-01-23,Bajaj,2W,331
2022-01-23,Honda,4W,156
2022-01-23,Tata,4W,153
2022-01-24,Hero,2W,329
2022-01-24,Hyundai,4W,168
2022-01-24,Maruti,4W,166
2022-01-24,Kia,4W,168
2022-01-24,Bajaj,2W,327
2022-01-24,Tata,4W,175
2022-01-24,Honda,4W,186
2022-01-24,TVS,2W,325
2022-01-25,Hero,2W,333
2022-01-25,Tata,4W,181
2022-01-25,Toyota,4W,174
2022-01-25,TVS,2W,339
2022-01-25,Hyundai,4W,150
2022-01-25,Maruti,4W,165
2022-01-25,Kia,4W,188
2022-01-25,Mahindra,4W,154
2022-01-25,Bajaj,2W,321
2022-01-26,Hero,2W,314
2022-01-26,Toyota,4W,178
2022-01-26,Maruti,4W,155
2022-01-26,TVS,2W,330
2022-01-26,Kia,4W,155
2022-01-26,Bajaj,2W,312
2022-01-26,Hyundai,4W,166
2022-01-26,Mahindra,4W,176
2022-01-26,Tata,4W,176
2022-01-27,Hero,2W,306
2022-01-27,Bajaj,2W,337
2022-01-27,Hyundai,4W,185
2022-01-27,Tata,4W,182
2022-01-27,Kia,4W,161
2022-01-27,TVS,2W,320
2022-01-27,Toyota,4W,183
2022-01-27,Maruti,4W,152
2022-01-27,Mahindra,4W,156
2022-01-28,Kia,4W,176
2022-01-28,Toyota,4W,164
2022-01-28,Tata,4W,187
2022-01-28,TVS,2W,335
2022-01-28,Maruti,4W,185
2022-01-28,Hyundai,4W,189
2022-01-28,Honda,4W,164
2022-01-28,Bajaj,2W,305
2022-01-28,Hero,2W,303
2022-01-29,Mahindra,4W,160
2022-01-29,Toyota,4W,181
2022-01-29,Maruti,4W,178
2022-01-29,TVS,2W,312
2022-01-29,Honda,4W,178
2022-01-30,Bajaj,2W,314
2022-01-30,Toyota,4W,182
2022-01-30,Kia,4W,189
2022-01-30,Hero,2W,328
2022-01-30,TVS,2W,324
2022-01-30,Mahindra,4W,189
2022-01-30,Honda,4W,163
2022-01-30,Maruti,4W,190
2022-01-30,Tata,4W,162
2022-01-30,Hyundai,4W,177
2022-01-31,Kia,4W,186
2022-01-31,Toyota,4W,191
2022-01-31,Honda,4W,166
2022-01-31,Bajaj,2W,317
2022-01-31,TVS,2W,327
2022-01-31,Hyundai,4W,179
2022-01-31,Mahindra,4W,189
2022-02-01,Hyundai,4W,191
